size,method,elapsed_ms,residual,error,speedup,check
128,inversion,1.356400,2.984279e-13,2.442491e-15,1.510174,PASS
128,unblocked-lu,0.338600,1.989520e-13,1.554312e-15,6.049616,PASS
128,blocked-lu/naive,0.543100,1.705303e-13,1.110223e-15,3.771681,PASS
128,blocked-lu/reordered,0.480700,1.705303e-13,1.110223e-15,4.261286,PASS
128,blocked-lu/blocked,0.508200,1.705303e-13,1.110223e-15,4.030697,PASS
128,blocked-lu/simd,0.472400,1.705303e-13,1.110223e-15,4.336156,PASS
128,blocked-lu/parallel,2.048400,1.705303e-13,1.110223e-15,1.000000,PASS
128,blocked-lu/full,0.516200,1.705303e-13,1.110223e-15,3.968229,PASS
256,inversion,11.769300,5.684342e-13,2.331468e-15,1.000000,PASS
256,unblocked-lu,3.259100,7.389644e-13,2.664535e-15,3.611212,PASS
256,blocked-lu/naive,4.452800,7.389644e-13,2.664535e-15,2.643123,PASS
256,blocked-lu/reordered,3.239600,7.389644e-13,2.664535e-15,3.632949,PASS
256,blocked-lu/blocked,3.050600,7.389644e-13,2.664535e-15,3.858028,PASS
256,blocked-lu/simd,2.543800,7.389644e-13,2.664535e-15,4.626661,PASS
256,blocked-lu/parallel,3.098200,7.389644e-13,2.664535e-15,3.798754,PASS
256,blocked-lu/full,2.454700,7.389644e-13,2.664535e-15,4.794598,PASS
512,inversion,129.185100,2.046363e-12,3.996803e-15,1.000000,PASS
512,unblocked-lu,23.166400,1.932676e-12,4.218847e-15,5.576399,PASS
512,blocked-lu/naive,33.165500,1.364242e-12,2.997602e-15,3.895165,PASS
512,blocked-lu/reordered,22.422400,1.364242e-12,2.997602e-15,5.761431,PASS
512,blocked-lu/blocked,23.578400,1.364242e-12,2.997602e-15,5.478960,PASS
512,blocked-lu/simd,18.651000,1.364242e-12,2.997602e-15,6.926444,PASS
512,blocked-lu/parallel,14.783200,1.364242e-12,2.997602e-15,8.738643,PASS
512,blocked-lu/full,12.547300,1.364242e-12,2.997602e-15,10.295849,PASS
1024,inversion,1744.731900,5.684342e-12,5.662137e-15,1.000000,PASS
1024,unblocked-lu,194.566700,4.888534e-12,4.662937e-15,8.967269,PASS
1024,blocked-lu/naive,268.398600,4.320100e-12,4.107825e-15,6.500525,PASS
1024,blocked-lu/reordered,168.067200,4.320100e-12,4.107825e-15,10.381156,PASS
1024,blocked-lu/blocked,196.725200,4.320100e-12,4.107825e-15,8.868879,PASS
1024,blocked-lu/simd,147.675500,4.320100e-12,4.107825e-15,11.814633,PASS
1024,blocked-lu/parallel,86.042500,4.320100e-12,4.107825e-15,20.277559,PASS
1024,blocked-lu/full,76.540400,4.320100e-12,4.107825e-15,22.794915,PASS
2048,inversion,13730.461100,1.818989e-11,8.992806e-15,1.000000,PASS
2048,unblocked-lu,2917.456200,1.637090e-11,7.882583e-15,4.706313,PASS
2048,blocked-lu/naive,2487.357100,1.318767e-11,6.439294e-15,5.520100,PASS
2048,blocked-lu/reordered,1514.901700,1.318767e-11,6.439294e-15,9.063599,PASS
2048,blocked-lu/blocked,1591.311100,1.318767e-11,6.439294e-15,8.628395,PASS
2048,blocked-lu/simd,1267.193900,1.318767e-11,6.439294e-15,10.835328,PASS
2048,blocked-lu/parallel,697.987300,1.318767e-11,6.439294e-15,19.671506,PASS
2048,blocked-lu/full,581.664200,1.318767e-11,6.439294e-15,23.605477,PASS
